ID,Deposit_Date,Special_Pay,Price,Refund_Option,Refund_Option_Cancelled,Refund_Percentage,Automatic_Pay_Rate,Revenue
3733-40525,12/13/10,SA,1999,0,0,0,0,1999
1850-40526,12/14/10,SA,1697,0,0,0,0,1697
2226-40526,12/14/10,SA,1612,0,0,0,0,1697
1893-40527,12/15/10,NA,1782,0,2,0,0,1876
2882-40527,12/15/10,SA,1576,0,0,0,0,1659
4042-40527,12/15/10,SA,1659,0,0,0,0,1659
1339-40528,12/16/10,NA,706,0,0,0,0,672
3028-40528,12/16/10,NA,706,0,0,0,0,672
834-40533,12/21/10,SA,516,0,0,0,0,516
2564-40533,12/21/10,SA,490,0,0,0,0,516
2511-40534,12/22/10,SA,753,0,0,0,0,717
4043-40534,12/22/10,SA,717,0,0,0,0,717
3441-40542,12/30/10,SA,1978,0,0,0,0,1978
8-40543,12/31/10,0,544,0,0,0,0,573
3470-40543,12/31/10,0,602,0,0,0,0,573
3451-40550,01/07/11,NA,357,0,0,0,0,376
433-40557,01/14/11,SA,611,0,0,0,0,643
650-40557,01/14/11,SA,599,0,0,0,0,599
4055-40557,01/14/11,SA,599,0,0,0,0,599
4061-40557,01/14/11,SA,611,0,0,0,0,643
269-40561,01/18/11,SA,2149,0,0,0,0,2149
467-40561,01/18/11,SA,1899,0,0,0,0,1899
2247-40561,01/18/11,SA,2042,0,0,0,0,2149
3495-40564,01/21/11,SA,1049,0,0,0,0,999
3747-40564,01/21/11,SA,949,0,0,0,0,999
3007-40568,01/25/11,SA,1299,0,0,0,0,1299
1770-40578,02/04/11,CP,105,0,0,0,0,100
2666-40578,02/04/11,CP,95,0,0,0,0,100
679-40589,02/15/11,NA,610,0,0,0,0,610
1625-40602,02/28/11,SA,351,0,0,0,0,369
1772-40602,02/28/11,SA,387,0,0,0,0,369
267-40603,03/01/11,SA,417,0,0,0,0,439
350-40613,03/11/11,SA,2678,0,0,0,0,2550
3961-40613,03/11/11,SA,2678,0,0,0,0,2550
1294-40617,03/15/11,FR,558,0,0,0,0,587
3069-40641,04/08/11,SA,375,0,0,0,0,375
3088-40641,04/08/11,SA,356,0,0,0,0,375
1181-40653,04/20/11,SA,389,0,0,0,0,409
1812-40653,04/20/11,SA,440,0,0,0,0,440
3010-40653,04/20/11,SA,440,0,0,0,0,440
3552-40653,04/20/11,SA,409,0,0,0,0,409
1197-40695,06/01/11,SA,2243,0,0,0,0,2243
3496-40695,06/01/11,SA,2131,0,0,0,0,2243
2330-40846,10/30/11,SA,1328,0,0,0,0,1398
2803-40846,10/30/11,SA,1328,0,0,0,0,1398
294-40452,10/01/10,NA,2252,1,0,0.2,0,2252
378-40452,10/01/10,NA,1808,1,1,0.333333333333333,0.333,1903
1048-40452,10/01/10,NA,1924,1,0,0.166666666666667,0.167,2025
1068-40452,10/01/10,NA,1904,1,4,0.333333333333333,0.333,2004
1381-40452,10/01/10,NA,1998,1,1,0.333333333333333,0.333,1903
1911-40452,10/01/10,NA,2181,1,5,0.1,0,2077
2164-40452,10/01/10,NA,1973,1,5,0.111111111111111,0,2077
2661-40452,10/01/10,NA,2365,1,0,0.2,0,2252
2888-40452,10/01/10,NA,2104,1,4,0.333333333333333,0.333,2004
127-40463,10/12/10,NA,1272,1,0,0.333333333333333,1,1211
3845-40463,10/12/10,NA,1211,1,0,0.333333333333333,1,1211
984-40466,10/15/10,NA,730,1,0,0.027777777777778,0.056,730
1043-40466,10/15/10,NA,767,1,0,0.027777777777778,0.056,730
1343-40466,10/15/10,NA,2164,1,2,0.25,0.5,2278
1602-40466,10/15/10,NA,1149,1,0,0.333333333333333,0.333,1149
2270-40466,10/15/10,NA,2164,1,2,0.25,0.5,2278
2730-40466,10/15/10,NA,1206,1,0,0.333333333333333,0.333,1149
3147-40466,10/15/10,NA,1994,1,0,0.142857142857143,0,2099
3265-40466,10/15/10,NA,2099,1,0,0.142857142857143,0,2099
3836-40466,10/15/10,NA,1402,1,0,0.166666666666667,0,1476
1247-40473,10/22/10,NA,2923,1,0,0.071428571428571,0.539,2784
1714-40473,10/22/10,NA,2645,1,0,0.076923076923077,0.539,2784
3078-40476,10/25/10,NA,1520,1,3,0.125,0.625,1600
3291-40476,10/25/10,NA,1680,1,3,0.125,0.625,1600
43-40480,10/29/10,NA,2278,1,2,0.25,0.5,2278
180-40480,10/29/10,NA,2215,1,2,0.25,0.25,2215
469-40480,10/29/10,NA,2255,1,4,0.25,0,2255
868-40480,10/29/10,NA,2326,1,2,0.25,0.25,2215
